name,type,calories,protein,fat,sodium,fiber,carbohydrates,sugars,potassium,vitamins,shelf,weight,cups,rating
100% Bran,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
100% Natural Bran,C,120,3,5,15,2,8,8,135,0,3,1,1,33.983679
All-Bran,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
All-Bran with Extra Fiber,C,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
Almond Delight,C,110,2,2,200,1,14,8,-1,25,3,1,0.75,34.384843
Apple Cinnamon Cheerios,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
Apple Jacks,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
Basic 4,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562
Bran Chex,C,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
Bran Flakes,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813
Cap'n'Crunch,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851
Cheerios,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999
Cinnamon Toast Crunch,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
Clusters,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208
Cocoa Puffs,C,110,1,1,180,0,12,13,55,25,2,1,1,22.736446
Corn Chex,C,110,2,0,280,0,22,3,25,25,1,1,1,41.445019
Corn Flakes,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
Corn Pops,C,110,1,0,90,1,13,12,20,25,2,1,1,35.782791
Count Chocula,C,110,1,1,180,0,12,13,65,25,2,1,1,22.396513
Cracklin' Oat Bran,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
Cream of Wheat (Quick),H,100,3,0,80,1,21,0,-1,0,2,1,1,64.533816
